1000 3
5 8 1
11 15 1
15 20 3
11 14 3
21 22 1
11 14 3
13 16 3
23 1 3
13 18 1
1 5 2
16 19 3
5 10 1
13 16 2
11 13 2
15 19 1
13 16 2
19 22 1
9 13 3
0 2 2
18 20 2
23 3 2
1 3 3
14 18 2
5 8 1
10 14 2
12 14 1
16 19 2
23 3 1
19 21 2
22 0 1
9 13 2
1 4 3
22 2 2
20 0 2
2 5 1
22 2 3
2 5 3
9 12 1
15 17 1
7 8 1
17 23 1
16 19 2
6 10 3
15 19 3
10 13 1
8 9 1
8 9 2
5 8 2
6 6 3
21 23 2
16 19 3
2 4 2
3 5 1
4 7 2
4 7 1
13 16 2
17 17 3
19 22 2
0 3 3
22 1 1
6 10 3
8 9 2
20 21 1
17 20 2
15 19 3
15 18 3
21 0 1
1 4 3
11 16 3
15 16 1
8 10 1
6 8 3
4 6 1
14 18 1
5 9 3
1 4 3
2 5 1
21 23 2
10 14 3
2 5 3
22 1 1
1 5 2
12 14 2
9 13 1
21 1 2
20 23 1
11 14 2
20 23 3
17 21 1
9 13 3
12 15 3
10 14 2
3 4 3
7 11 3
