1000 2
2 1 
6 9 1
23 3 1
7 11 1
6 9 2
20 0 1
7 9 2
16 20 1
2 5 1
19 22 2
18 20 1
20 0 2
8 9 2
7 10 1
2 5 1
1 5 1
6 11 2
22 1 2
12 15 2
11 13 2
3 7 2
8 12 2
19 0 1
13 16 1
23 3 2
11 14 2
5 7 2
19 22 2
13 15 1
0 4 2
8 11 2
2 6 1
6 10 1
20 21 2
2 3 2
14 17 2
20 23 1
16 19 2
16 17 1
0 4 1
3 5 1
14 16 1
16 18 1
11 12 1
15 18 2
0 2 2
10 15 1
14 17 2
18 20 2
4 8 2
12 15 2
0 3 1
9 11 1
9 13 2
4 8 1
23 2 1
2 3 2
1 4 1
21 0 2
13 17 1
4 8 1
0 3 2
7 11 1
13 15 2
13 16 2
13 16 1
15 16 2
15 17 2
2 5 1
19 20 2
21 23 1
14 18 1
1 4 2
22 0 1
10 15 1
1 3 1
3 6 2
22 23 1
1 5 2
17 19 2
21 2 1
1 5 1
19 21 1
23 3 2
19 22 2
5 9 2
10 14 2
18 23 2
2 5 2
7 11 2
18 22 1
10 13 2
5 8 1
22 2 2
11 13 2
6 8 1
9 13 1
10 14 2
4 7 1
8 10 1
14 16 2
19 23 2
16 19 2
19 20 1
17 19 1
5 8 2
4 7 2
7 8 2
17 20 1
17 19 2
20 0 2
16 19 2
9 12 1
5 9 1
8 11 2
3 6 1
13 17 2
23 3 1
11 14 1
11 15 1
8 11 1
16 19 1
23 2 1
12 13 1
14 17 2
18 21 1
21 2 1
21 1 2
23 1 2
11 14 1
7 9 2
3 5 2
1 4 2
14 17 1
7 9 1
1 3 2
6 8 1
5 6 2
3 7 2
13 15 2
14 17 2
17 18 2
12 15 1
3 6 1
16 21 1
15 19 2
11 14 1
3 6 2
19 21 1
3 6 2
13 17 2
10 13 2
9 12 1
0 3 1
13 16 1
14 18 2
11 14 2
5 8 2
16 18 1
22 0 2
13 17 1
22 0 2
12 14 1
20 23 2
3 7 1
13 17 1
16 20 2
17 20 1
8 11 2
18 20 1
23 3 1
1 4 2
16 17 1
4 6 1
9 12 1
12 14 1
16 18 2
2 4 1
11 16 1
12 16 1
11 13 2
16 17 2
21 0 2
17 20 2
11 13 2
14 18 2
11 15 1
15 20 2
18 20 2
16 20 1
12 14 2
11 13 1
4 6 2
5 9 1
5 10 1
23 4 2
4 8 2
17 20 2
23 2 1
18 22 2
23 3 1
18 22 1
4 7 1
2 4 1
19 22 1
20 23 2
9 11 1
16 19 1
16 18 2
22 2 1
1 2 2
14 18 1
15 18 2
6 7 1
11 13 2
17 21 1
9 13 1
0 3 2
21 0 1
5 7 2
21 0 1
13 15 2
15 17 1
2 5 2
6 9 1
21 0 2
6 8 1
7 11 2
3 6 2
4 7 2
21 0 2
3 7 1
3 6 1
19 20 2
10 12 1
15 18 1
23 1 2
11 14 1
7 9 2
14 18 2
2 5 2
2 5 1
13 16 1
15 19 1
1 4 1
11 14 1
0 5 2
12 15 1
22 23 1
8 9 2
9 13 1
2 3 2
0 3 2
20 22 2
10 13 1
7 11 1
14 16 2
8 10 1
23 2 1
18 21 1
1 4 1
12 13 1
12 17 1
17 20 1
19 20 1
10 13 1
20 20 2
18 20 1
2 4 1
7 8 1
6 8 2
9 11 1
22 2 1
8 11 2
13 18 1
10 13 1
12 15 2
17 20 1
10 14 1
12 15 1
7 10 2
21 23 2
1 4 1
0 2 1
7 10 2
16 18 1
10 14 1
1 5 2
11 15 1
20 23 1
10 14 2
0 4 2
4 7 1
6 10 2
12 14 2
5 7 2
8 11 1
13 16 2
20 0 1
10 13 1
20 1 2
23 2 1
2 4 1
22 23 1
17 20 2
11 13 2
14 18 2
9 13 2
12 16 1
22 23 1
23 3 2
8 10 1
23 1 1
12 14 2
9 10 1
5 8 2
1 5 2
5 9 2
10 15 2
8 10 1
14 16 2
19 23 2
2 6 2
3 6 1
12 15 1
15 17 2
19 22 2
21 1 1
6 10 2
2 4 1
5 8 1
14 16 1
17 19 1
9 13 2
11 14 1
16 19 2
0 3 2
17 20 1
5 8 1
2 6 1
1 4 1
22 1 2
1 3 2
3 7 1
13 16 1
15 17 2
14 18 1
20 0 1
9 13 1
4 8 2
8 11 2
10 12 2
8 10 1
12 13 1
11 12 1
21 22 1
20 23 1
1 6 1
5 9 1
0 3 1
3 5 1
5 8 2
20 23 2
4 6 1
21 1 2
19 23 2
22 1 1
20 23 1
6 10 1
23 2 1
2 4 2
19 21 1
13 16 2
17 19 2
20 22 2
0 3 2
7 11 1
5 8 1
15 18 1
22 2 2
16 18 1
19 21 2
21 1 2
7 11 2
11 14 2
13 16 2
13 15 1
17 20 1
22 3 1
20 23 1
3 7 1
10 14 2
16 18 1
8 10 1
15 17 1
10 11 1
2 4 2
22 0 1
19 22 1
4 6 1
12 16 1
14 18 2
11 14 2
3 7 1
7 9 2
9 11 1
23 2 2
1 5 1
2 4 2
2 6 1
6 8 1
5 8 1
22 0 1
14 17 2
1 5 2
0 1 2
7 10 1
5 7 2
16 19 2
2 6 2
10 13 1
21 0 1
22 3 2
19 21 1
23 3 1
3 8 1
20 23 2
16 19 1
8 10 1
4 8 1
1 3 1
12 16 2
1 3 2
20 23 1
16 19 1
14 17 1
16 19 1
23 2 1
6 8 1
1 3 1
3 7 2
20 0 2
5 8 2
22 2 1
21 23 2
13 17 2
0 3 2
0 3 2
7 9 1
14 17 2
20 0 1
14 17 1
17 19 2
1 4 1
14 18 1
7 8 1
15 18 1
5 8 1
13 16 1
13 13 2
7 10 2
6 7 1
2 5 1
10 13 2
17 21 1
20 21 1
15 17 2
13 15 2
16 17 1
21 23 2
5 9 1
18 20 2
20 23 1
10 14 1
16 19 2
12 14 1
18 20 1
17 20 2
15 18 2
18 22 2
3 9 2
12 15 2
4 7 1
3 6 2
0 4 2
1 3 2
8 10 1
3 5 1
4 6 2
22 0 2
12 16 1
17 19 2
12 15 1
21 23 1
23 2 1
6 9 2
5 7 2
5 9 2
3 4 2
2 5 1
18 21 2
22 1 2
20 23 1
12 15 2
9 12 2
9 12 2
11 15 2
4 6 1
14 15 1
1 4 1
17 19 2
7 9 2
9 13 2
19 1 2
8 10 2
15 18 1
1 5 2
19 23 2
6 9 2
13 16 1
19 23 1
19 23 1
0 4 2
8 13 1
20 23 2
8 14 1
21 0 1
16 18 2
9 12 1
23 1 2
11 15 1
11 14 2
15 19 2
9 13 1
13 16 1
1 6 2
18 21 2
22 0 2
13 16 2
3 6 2
9 13 1
4 8 2
17 19 2
1 3 1
1 5 2
23 2 2
16 19 1
0 2 1
20 23 1
4 8 2
4 7 2
8 10 1
6 10 2
3 5 1
7 10 1
17 22 2
19 23 2
8 11 1
7 11 2
9 11 1
10 12 2
8 10 1
8 13 1
21 1 2
4 8 2
18 22 2
12 13 2
17 20 2
3 7 1
3 7 1
2 5 2
5 9 2
17 20 2
18 20 2
17 20 1
10 14 2
16 19 1
8 10 2
11 15 2
17 19 2
5 9 2
4 6 1
4 7 2
9 12 1
20 23 2
3 4 2
10 14 2
2 5 2
0 2 1
16 20 1
16 19 1
2 3 1
16 20 2
2 4 2
18 21 1
13 16 1
15 18 2
18 20 2
21 0 1
4 6 2
5 7 2
3 6 1
15 17 2
11 14 1
22 1 1
10 13 1
1 2 2
11 12 1
2 7 2
1 4 1
11 14 2
6 9 1
1 5 2
10 13 2
7 11 2
22 2 1
18 21 1
6 10 2
20 22 2
17 20 2
4 9 2
20 0 1
1 5 2
14 15 1
3 8 2
14 17 1
7 11 2
14 17 2
21 0 1
16 20 1
9 11 2
1 5 1
15 19 1
23 1 1
0 4 2
8 12 1
0 2 2
0 2 2
9 11 2
7 11 2
22 2 1
16 19 2
7 12 2
2 3 1
14 16 2
17 20 2
2 4 1
18 20 1
0 4 1
18 21 2
14 16 1
14 18 1
13 17 2
10 13 2
13 15 1
10 13 1
8 11 1
23 2 1
0 4 2
22 4 1
5 8 1
9 12 2
6 8 2
17 21 1
19 22 1
2 6 1
18 20 1
2 5 1
16 20 2
14 16 1
6 10 2
17 20 2
23 3 1
9 12 1
9 11 1
2 5 2
15 20 2
2 5 1
18 21 1
13 15 1
5 8 1
15 20 2
6 9 1
18 21 2
16 19 1
2 4 2
9 12 2
13 16 2
23 2 2
12 16 2
20 23 1
11 14 2
17 21 1
10 12 1
19 21 2
9 11 2
21 23 2
14 18 1
11 13 1
17 19 1
4 7 1
19 23 2
0 2 2
18 20 2
12 15 1
7 10 2
15 18 2
15 17 2
5 8 1
17 21 2
7 10 1
15 19 1
3 4 2
11 15 1
6 8 2
0 5 2
11 14 1
4 6 2
17 19 2
5 8 2
20 23 1
22 0 1
14 17 1
20 22 2
17 21 1
5 9 1
18 20 2
23 2 2
4 6 1
1 2 2
18 21 2
4 8 2
15 17 1
20 21 1
15 19 1
4 5 2
0 3 2
14 15 1
0 2 1
11 15 1
13 16 2
6 9 2
13 15 1
7 11 1
18 20 2
5 9 2
13 18 2
16 18 2
11 13 1
9 11 1
22 1 2
23 3 2
19 22 2
8 10 2
7 10 2
20 23 1
18 20 1
3 5 2
23 3 1
9 13 2
0 2 2
21 23 1
4 7 1
22 1 2
22 1 2
16 19 1
14 18 1
2 4 2
7 9 2
3 7 2
21 0 1
8 8 1
14 17 1
5 7 2
16 19 1
17 20 2
4 8 1
8 12 1
18 23 2
7 10 2
1 6 1
22 0 2
7 10 2
8 11 1
16 21 1
18 22 1
1 5 1
16 19 1
2 6 2
3 7 1
10 12 2
18 21 1
8 10 1
1 3 1
17 19 1
18 21 2
13 14 2
6 9 1
2 5 2
23 2 2
9 12 1
6 8 2
3 7 2
19 23 2
18 21 1
13 17 2
8 13 2
6 8 2
9 12 2
18 21 2
0 1 1
3 6 2
